"","Year","Season"," State"," Total Annual Loss"," Beekeepers"," Beekeepers Exclusive to State"," Colonies"," Colonies Exclusive to State"
"111","2014/15","Annual","Wyoming",0.325,11,0.636,18200,0.002
"112","2014/15","Annual","Utah",0.336,41,0.829,20822,0.011
"113","2014/15","Annual","Vermont",0.341,50,0.92,731,0.722
"114","2014/15","Annual","Missouri",0.348,94,0.968,1839,0.97
"115","2014/15","Annual","Georgia",0.349,74,0.865,5923,0.274
"116","2014/15","Annual","South Dakota",0.361,15,0.467,100410,0
"117","2014/15","Annual","Tennessee",0.363,73,0.959,1691,0.741
"118","2014/15","Annual","Nebraska",0.373,12,0.75,95755,0.001
"119","2014/15","Annual","North Dakota",0.377,30,0.067,256234,0
"120","2014/15","Annual","Colorado",0.38,178,0.978,84676,0.014
"121","2014/15","Annual","California",0.382,183,0.634,423823,0.125
"122","2014/15","Annual","Mississippi",0.387,11,0.818,20681,0.012
"123","2014/15","Annual","Washington",0.393,128,0.914,148277,0.007
"124","2014/15","Annual","New Hampshire",0.394,42,0.929,470,0.637
"125","2014/15","Annual","Montana",0.401,26,0.731,37022,0.061
"126","2014/15","Annual","North Carolina",0.416,254,0.972,2700,0.976
"127","2014/15","Annual","Kansas",0.424,39,0.974,1246,0.851
"128","2014/15","Annual","MultiStateOperation",0.425,144,0,423939,0
"129","2014/15","Annual","Louisiana",0.443,18,0.833,4335,0.122
"130","2014/15","Annual","Virginia",0.461,590,0.985,4645,0.981
"131","2014/15","Annual","Massachusetts",0.461,150,0.98,1479,0.78
"132","2014/15","Annual","New Mexico",0.461,21,0.952,2037,0.054
"133","2014/15","Annual","Texas",0.463,139,0.856,183028,0.032
"134","2014/15","Annual","Rhode Island",0.479,22,0.727,401,0.368
"135","2014/15","Annual","Kentucky",0.479,59,0.983,804,0.748
"136","2014/15","Annual","Alabama",0.48,28,0.964,504,0.985
"137","2014/15","Annual","New Jersey",0.482,93,0.957,853,0.848
"138","2014/15","Annual","Arkansas",0.483,96,0.938,3428,0.759
"139","2014/15","Annual","Indiana",0.485,92,0.967,781,0.968
"140","2014/15","Annual","Minnesota",0.506,77,0.805,137066,0.004
"141","2014/15","Annual","New York",0.542,146,0.938,55882,0.088
"142","2014/15","Annual","Florida",0.553,93,0.86,61246,0.08
"143","2014/15","Annual","Connecticut",0.573,56,0.946,646,0.659
"144","2014/15","Annual","Arizona",0.588,9,0.889,1156,0.623
"145","2014/15","Annual","Ohio",0.591,270,0.974,3856,0.712
"146","2014/15","Annual","Wisconsin",0.602,124,0.927,51505,0.079
"147","2014/15","Annual","Maine",0.605,103,0.961,46971,0.023
"148","2014/15","Annual","West Virginia",0.609,47,0.872,751,0.4
"149","2014/15","Annual","Maryland",0.609,126,0.944,24579,0.048
"150","2014/15","Annual","Delaware",0.61,16,0.625,46466,0.002
"151","2014/15","Annual","Pennsylvania",0.611,674,0.987,53106,0.155
"152","2014/15","Annual","Iowa",0.614,36,0.944,1206,0.631
"153","2014/15","Annual","Illinois",0.624,102,0.971,1317,0.569
"154","2014/15","Annual","Oklahoma",0.634,36,0.889,18277,0.03
"155","2014/15","Annual","District of Columbia",NA,3,0.667,360,0.073
"156","2014/15","Annual","Alaska",NA,2,1,11,1
"157","2013/14","Annual","Wyoming",0.201,10,0.4,22954,0.001
"158","2013/14","Annual","Montana",0.216,23,0.696,33093,0.002
"159","2013/14","Annual","Hawaii",0.249,67,0.985,16970,0.534
"160","2013/14","Annual","Massachusetts",0.257,145,0.952,9387,0.181
"161","2013/14","Annual","Nebraska",0.265,11,0.727,88509,0.001
"162","2013/14","Annual","Colorado",0.271,174,0.977,77674,0.014
"163","2013/14","Annual","North Carolina",0.277,241,0.938,81356,0.034
"164","2013/14","Annual","Idaho",0.278,34,0.559,113406,0.074
"165","2013/14","Annual","Utah",0.286,51,0.823,9228,0.039
"166","2013/14","Annual","Arkansas",0.294,56,0.929,10852,0.06
"167","2013/14","Annual","Minnesota",0.301,93,0.86,121915,0.018
"168","2013/14","Annual","Louisiana",0.303,20,0.95,11549,0.292
"169","2013/14","Annual","South Dakota",0.304,14,0.5,95243,0
"170","2013/14","Annual","California",0.317,253,0.656,450107,0.043
"171","2013/14","Annual","Oregon",0.325,173,0.919,51415,0.016
"172","2013/14","Annual","New Mexico",0.325,18,1,123,1
"173","2013/14","Annual","MultiStateOperation",0.336,186,0,499421,0
"174","2013/14","Annual","Wisconsin",0.339,136,0.86,58053,0.034
"175","2013/14","Annual","South Carolina",0.345,140,0.964,3122,0.487
"176","2013/14","Annual","Nevada",0.351,12,0.75,717,0.083
"177","2013/14","Annual","Washington",0.354,119,0.891,70806,0.016
"178","2013/14","Annual","Texas",0.357,78,0.756,187311,0.023
"179","2013/14","Annual","Florida",0.36,150,0.807,83120,0.065
"180","2013/14","Annual","North Dakota",0.374,26,0.039,194926,0
"181","2013/14","Annual","Rhode Island",0.374,22,0.727,214,0.529
"182","2013/14","Annual","Mississippi",0.379,23,0.652,134891,0.002
"183","2013/14","Annual","New Jersey",0.398,165,0.964,27002,0.051
"184","2013/14","Annual","Indiana",0.409,174,0.96,4712,0.423
"185","2013/14","Annual","Maine",0.412,140,0.957,44447,0.023
"186","2013/14","Annual","Tennessee",0.414,91,0.945,1808,0.544
"187","2013/14","Annual","Missouri",0.415,78,0.987,1396,0.892
"188","2013/14","Annual","Michigan",0.417,332,0.964,31420,0.126
"189","2013/14","Annual","Virginia",0.424,637,0.981,27303,0.235
"190","2013/14","Annual","Oklahoma",0.426,26,0.962,9024,0.025
"191","2013/14","Annual","Delaware",0.429,21,0.762,21140,0.005
"192","2013/14","Annual","Maryland",0.438,148,0.919,23241,0.081
"193","2013/14","Annual","Alabama",0.443,33,0.939,1083,0.386
"194","2013/14","Annual","Georgia",0.445,92,0.87,19468,0.12
"195","2013/14","Annual","West Virginia",0.448,65,0.908,1178,0.634
"196","2013/14","Annual","Kentucky",0.449,94,0.957,1537,0.743
"197","2013/14","Annual","New York",0.456,162,0.938,36335,0.103
"198","2013/14","Annual","Pennsylvania",0.458,828,0.98,38599,0.207
"199","2013/14","Annual","Ohio",0.458,407,0.975,24858,0.133
"200","2013/14","Annual","Arizona",0.485,5,0.8,458,0.97
"201","2013/14","Annual","Kansas",0.501,38,0.974,627,0.74
"202","2013/14","Annual","Vermont",0.538,82,0.951,1996,0.982
"203","2013/14","Annual","New Hampshire",0.604,58,0.948,318,0.886
"204","2013/14","Annual","Illinois",0.631,125,0.968,2465,0.68
"205","2013/14","Annual","Iowa",0.705,55,0.964,2006,0.885
"206","2013/14","Annual","Connecticut",0.816,65,0.908,1531,0.182
"207","2013/14","Annual","District of Columbia",0.857,6,0.667,377,0.146
"208","2013/14","Annual","Alaska",NA,3,1,15,1
"209","2012/13","Annual","Hawaii",0.075,41,0.976,10027,0.937
"210","2012/13","Annual","Arizona",0.214,9,0.889,2289,0.011
"211","2012/13","Annual","South Carolina",0.259,66,0.97,4799,0.125
"212","2012/13","Annual","Indiana",0.271,108,0.963,4087,0.268
"213","2012/13","Annual","Arkansas",0.281,37,0.973,2381,0.962
"214","2012/13","Annual","Illinois",0.289,131,0.97,5026,0.186
"215","2012/13","Annual","Vermont",0.299,39,0.897,4189,0.45
"216","2012/13","Annual","Montana",0.303,25,0.6,35214,0.002
"217","2012/13","Annual","Missouri",0.334,74,0.973,1243,0.674
"218","2012/13","Annual","Massachusetts",0.344,151,0.973,24961,0.035
"219","2012/13","Annual","Iowa",0.35,44,0.909,6882,0.338
"220","2012/13","Annual","Idaho",0.362,30,0.5,91535,0.018
"221","2012/13","Annual","Oregon",0.363,120,0.917,23061,0.423
"222","2012/13","Annual","New Hampshire",0.365,57,1,734,1
"223","2012/13","Annual","Rhode Island",0.375,15,0.733,192,0.79
"224","2012/13","Annual","Maine",0.399,101,0.941,81087,0.013
"225","2012/13","Annual","New Jersey",0.399,61,0.902,47013,0.009
"226","2012/13","Annual","Louisiana",0.412,13,1,835,1
"227","2012/13","Annual","Michigan",0.415,205,0.966,39903,0.098
"228","2012/13","Annual","New York",0.415,176,0.915,71614,0.073
"229","2012/13","Annual","Kansas",0.416,39,0.872,2535,0.227
"230","2012/13","Annual","Florida",0.42,95,0.79,84768,0.103
"231","2012/13","Annual","North Dakota",0.422,34,0.088,289596,0
"232","2012/13","Annual","Washington",0.434,107,0.897,79935,0.014
"233","2012/13","Annual","Wisconsin",0.437,127,0.929,36124,0.136
"234","2012/13","Annual","Kentucky",0.44,46,0.935,697,0.912
"235","2012/13","Annual","California",0.458,212,0.642,625897,0.115
"236","2012/13","Annual","Pennsylvania",0.459,349,0.957,46365,0.12
"237","2012/13","Annual","Wyoming",0.464,13,0.539,19318,0.007
"238","2012/13","Annual","MultiStateOperation",0.465,156,0,609111,0
"239","2012/13","Annual","North Carolina",0.468,275,0.967,5812,0.67
"240","2012/13","Annual","Ohio",0.473,182,0.989,24995,0.125
"241","2012/13","Annual","Virginia",0.48,467,0.976,29167,0.185
"242","2012/13","Annual","Delaware",0.482,23,0.826,24893,0.01
"243","2012/13","Annual","Georgia",0.49,70,0.857,14700,0.091
"244","2012/13","Annual","Maryland",0.494,181,0.95,26722,0.07
"245","2012/13","Annual","Utah",0.502,45,0.844,15720,0.03
"246","2012/13","Annual","Texas",0.508,53,0.755,112502,0.006
"247","2012/13","Annual","Colorado",0.513,165,0.976,1414,0.825
"248","2012/13","Annual","Tennessee",0.514,55,0.909,1357,0.566
"249","2012/13","Annual","Alabama",0.551,36,0.944,777,0.637
"250","2012/13","Annual","West Virginia",0.558,60,0.933,2736,0.191
"251","2012/13","Annual","Minnesota",0.575,74,0.838,72320,0.214
"252","2012/13","Annual","Connecticut",0.576,57,0.912,1101,0.683
"253","2012/13","Annual","Mississippi",0.602,26,0.808,156746,0.007
"254","2012/13","Annual","New Mexico",0.606,9,0.889,71,0.905
"255","2012/13","Annual","Nebraska",0.622,13,0.692,127087,0.002
"256","2012/13","Annual","South Dakota",0.633,5,0.4,127801,0
"257","2012/13","Annual","Oklahoma",0.654,29,0.931,8366,0.088
"258","2012/13","Annual","District of Columbia",0.735,10,0.7,509,0.087
"259","2012/13","Annual","Nevada",NA,4,0.5,2556,0.003
"260","2012/13","Annual","Alaska",NA,2,1,13,1
"261","2011/12","Annual","Vermont",0.171,45,0.911,1599,0.19
"262","2011/12","Annual","Rhode Island",0.186,18,1,86,1
"263","2011/12","Annual","Montana",0.188,15,0.667,22359,0.063
"264","2011/12","Annual","Indiana",0.194,60,0.95,2259,0.273
"265","2011/12","Annual","Oregon",0.195,76,0.895,28552,0.148
"266","2011/12","Annual","Hawaii",0.204,18,1,13728,1
"267","2011/12","Annual","Michigan",0.221,106,0.972,9699,0.131
"268","2011/12","Annual","Washington",0.229,71,0.915,44554,0.026
"269","2011/12","Annual","Connecticut",0.244,30,0.867,394,0.44
"270","2011/12","Annual","Idaho",0.247,22,0.818,7351,0.014
"271","2011/12","Annual","New Jersey",0.255,46,0.87,847,0.837
"272","2011/12","Annual","Nebraska",0.258,6,0.833,15531,0.001
"273","2011/12","Annual","Virginia",0.265,294,0.983,2683,0.969
"274","2011/12","Annual","Missouri",0.265,54,0.963,841,0.6
"275","2011/12","Annual","Texas",0.265,25,0.92,16189,0.048
"276","2011/12","Annual","Tennessee",0.267,69,0.928,1192,0.828
"277","2011/12","Annual","Arizona",0.268,7,0.714,448,0.473
"278","2011/12","Annual","Alabama",0.27,25,0.96,582,0.997
"279","2011/12","Annual","North Dakota",0.277,9,0.111,49950,0.055
"280","2011/12","Annual","California",0.284,175,0.834,163019,0.288
"281","2011/12","Annual","South Carolina",0.284,60,0.95,1744,0.383
"282","2011/12","Annual","Utah",0.302,47,0.979,5874,0.064
"283","2011/12","Annual","MultiStateOperation",0.314,83,0,137431,0
"284","2011/12","Annual","North Carolina",0.325,248,0.976,2510,0.959
"285","2011/12","Annual","Nevada",0.329,8,0.875,1703,0.035
"286","2011/12","Annual","Kansas",0.343,14,0.857,668,0.336
"287","2011/12","Annual","New Hampshire",0.347,33,0.879,375,0.65
"288","2011/12","Annual","Wisconsin",0.355,71,0.958,967,0.959
"289","2011/12","Annual","Ohio",0.358,138,0.971,4590,0.555
"290","2011/12","Annual","Oklahoma",0.365,17,1,156,1
"291","2011/12","Annual","Minnesota",0.367,30,0.967,689,0.968
"292","2011/12","Annual","Kentucky",0.369,28,0.964,869,0.972
"293","2011/12","Annual","Maryland",0.373,190,0.984,1513,0.951
"294","2011/12","Annual","New Mexico",0.376,10,1,218,1
"295","2011/12","Annual","Arkansas",0.379,21,0.952,356,0.749
"296","2011/12","Annual","Colorado",0.379,67,0.985,891,0.768
"297","2011/12","Annual","Florida",0.418,72,0.889,49141,0.134
"298","2011/12","Annual","West Virginia",0.427,31,0.903,555,0.517
"299","2011/12","Annual","New York",0.438,113,0.912,11972,0.189
"300","2011/12","Annual","Iowa",0.458,24,0.958,749,0.663
"301","2011/12","Annual","Massachusetts",0.478,121,0.95,26013,0.032
"302","2011/12","Annual","Pennsylvania",0.479,376,0.957,12633,0.427
"303","2011/12","Annual","Maine",0.491,73,0.945,33389,0.03
"304","2011/12","Annual","Louisiana",0.503,14,1,1830,1
"305","2011/12","Annual","Georgia",0.504,89,0.921,12228,0.142
"306","2011/12","Annual","Delaware",0.513,19,0.895,470,0.79
"307","2011/12","Annual","Illinois",0.53,50,0.98,1018,0.769
"308","2011/12","Annual","District of Columbia",0.853,5,1,1877,1
"309","2011/12","Annual","South Dakota",NA,2,1,41,1
"310","2011/12","Annual","Mississippi",NA,4,1,40,1
"311","2011/12","Annual","Wyoming",NA,4,1,4172,1
"312","2011/12","Annual","Puerto Rico",NA,1,1,15,1
"313","2010/11","Annual","Hawaii",0.079,31,1,5287,1
"314","2010/11","Annual","New Mexico",0.103,9,1,29,1
"315","2010/11","Annual","Alabama",0.139,21,0.905,459,0.961
"316","2010/11","Annual","Nebraska",0.183,8,0.875,11239,0.008
"317","2010/11","Annual","Montana",0.196,15,0.667,20569,0.006
"318","2010/11","Annual","Oregon",0.199,75,0.92,16311,0.022
"319","2010/11","Annual","Washington",0.206,69,0.899,21210,0.023
"320","2010/11","Annual","Idaho",0.206,14,0.857,11507,0.003
"321","2010/11","Annual","Arizona",0.233,7,0.714,2001,0.009
"322","2010/11","Annual","South Carolina",0.248,42,0.881,1174,0.256
"323","2010/11","Annual","Vermont",0.257,36,0.889,1188,0.189
"324","2010/11","Annual","Missouri",0.267,76,0.974,761,0.936
"325","2010/11","Annual","Utah",0.271,48,0.958,2340,0.087
"326","2010/11","Annual","North Dakota",0.275,14,0.357,56080,0
"327","2010/11","Annual","New Jersey",0.286,41,0.951,297,0.994
"328","2010/11","Annual","Arkansas",0.296,15,0.867,98,0.796
"329","2010/11","Annual","Texas",0.302,37,0.784,44896,0.025
"330","2010/11","Annual","Oklahoma",0.331,16,0.75,653,0.944
"331","2010/11","Annual","Kentucky",0.335,21,0.952,430,0.985
"332","2010/11","Annual","Indiana",0.338,65,0.985,6519,0.075
"333","2010/11","Annual","Wisconsin",0.346,54,0.926,6987,0.14
"334","2010/11","Annual","New Hampshire",0.356,30,1,466,1
"335","2010/11","Annual","California",0.357,144,0.799,130488,0.119
"336","2010/11","Annual","MultiStateOperation",0.362,79,0,120352,0
"337","2010/11","Annual","Tennessee",0.364,43,0.907,415,0.802
"338","2010/11","Annual","Colorado",0.387,65,0.985,741,0.798
"339","2010/11","Annual","Kansas",0.389,11,0.818,175,0.519
"340","2010/11","Annual","Delaware",0.39,8,0.875,41,0.792
"341","2010/11","Annual","Ohio",0.399,116,1,948,1
"342","2010/11","Annual","Virginia",0.408,176,0.977,1491,0.945
"343","2010/11","Annual","North Carolina",0.421,303,0.957,3451,0.919
"344","2010/11","Annual","Minnesota",0.425,27,0.778,38378,0.013
"345","2010/11","Annual","Mississippi",0.435,7,0.571,30618,0.001
"346","2010/11","Annual","Connecticut",0.437,43,0.86,666,0.38
"347","2010/11","Annual","South Dakota",0.448,7,0.857,2802,0.035
"348","2010/11","Annual","Maryland",0.475,85,0.988,765,0.976
"349","2010/11","Annual","Rhode Island",0.487,25,0.96,113,0.964
"350","2010/11","Annual","Florida",0.577,57,0.912,13624,0.07
"351","2010/11","Annual","Illinois",0.583,57,0.947,1019,0.797
"352","2010/11","Annual","Massachusetts",0.607,81,0.938,539,0.837
"353","2010/11","Annual","Louisiana",0.636,13,0.846,6153,0.026
"354","2010/11","Annual","New York",0.681,79,0.848,8197,0.145
"355","2010/11","Annual","Pennsylvania",0.728,218,0.973,8640,0.543
"356","2010/11","Annual","West Virginia",0.786,25,0.92,509,0.487
"357","2010/11","Annual","Iowa",0.807,14,0.857,1037,0.688
"358","2010/11","Annual","Michigan",0.835,99,0.97,10320,0.219
"359","2010/11","Annual","Georgia",0.847,61,0.967,5923,0.208
"360","2010/11","Annual","Maine",0.869,43,0.93,5668,0.138
"361","2010/11","Annual","Puerto Rico",NA,1,1,12,1
"362","2010/11","Annual","Alaska",NA,2,0.5,6,1
"363","2010/11","Annual","District of Columbia",NA,1,1,4,1
"364","2010/11","Annual","Wyoming",NA,2,1,3883,1
"365","2010/11","Annual","Nevada",NA,3,0.333,3581,0.003
